               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087598,            0.039806,            0.048521,             0.28098,             0.08115,            0.053413,            0.014951,            0.058313,            0.020539,            0.034221,            0.070265,           0.0033038,           0.0033038
                   1,            0.062043,            0.039141,            0.026057,             0.19205,              0.2893,             0.18488,            0.062342,            0.053479,            0.017422,            0.018269,            0.040222,           0.0065934,           0.0065934
                   2,            0.057398,            0.033662,             0.01173,             0.54925,             0.22851,             0.20862,            0.073972,            0.050418,            0.018565,            0.027286,            0.010134,           0.0098389,           0.0098389
                   3,            0.054231,             0.03414,           0.0087686,             0.40389,             0.40731,             0.35363,             0.14137,            0.043446,            0.017204,           0.0090246,            0.009802,            0.009802,            0.009802
                   4,            0.050278,            0.033458,           0.0060931,              0.4364,             0.48925,              0.4349,             0.17196,            0.040971,            0.016377,           0.0054149,            0.009802,            0.009802,            0.009802
                   5,            0.047368,            0.033399,           0.0070763,             0.45828,             0.26759,             0.26633,             0.11665,            0.047327,            0.017102,            0.018631,            0.009736,            0.009736,            0.009736
                   6,            0.046698,            0.034184,           0.0054987,             0.49393,             0.51072,             0.48001,              0.2115,             0.03855,            0.016029,           0.0054936,             0.00967,             0.00967,             0.00967
                   7,            0.045818,            0.032733,           0.0058841,             0.46417,             0.52142,             0.49515,             0.20463,            0.039013,            0.015747,           0.0077727,            0.009604,            0.009604,            0.009604
                   8,            0.044598,            0.032406,           0.0048989,             0.63703,             0.60968,             0.64873,             0.30568,            0.033706,            0.014642,           0.0025712,            0.009538,            0.009538,            0.009538
                   9,               0.043,            0.032751,           0.0036421,              0.6256,             0.60975,             0.67129,             0.32339,            0.033002,            0.014304,            0.002437,            0.009472,            0.009472,            0.009472
                  10,            0.042104,            0.032382,           0.0036052,             0.62743,             0.65501,             0.68742,             0.32979,            0.032652,            0.014153,           0.0027171,            0.009406,            0.009406,            0.009406
                  11,            0.041378,            0.031845,           0.0039516,             0.67011,             0.60538,              0.6819,             0.33403,            0.030895,            0.014425,           0.0025511,             0.00934,             0.00934,             0.00934
